dataset,level,is_error,input_bytes,r_bytes,c_r_bytes,c_c_bytes,total_compressed_bytes,output_c_bytes,gcis_comp_time_ms,gcis_comp_peak_mem_bytes,parsing_time_s,preprocess_time_s,repair_dict_time_s,repair_parse_time_s,postprocess_time_s,bigrepair_comp_elapsed_s,bigrepair_decomp_elapsed_s,gcis_decomp_time_ms
Android,0,False,104857600,265778,18562044,5824300,24652122,263753555,3381,788078830,12.8552,2.2735,39.2365,1.0632,0.1316,55.5644,4.2146,745
Android,1,False,104857600,2436956,20374796,3108908,25920660,93182005,4409,617595086,5.5262,1.2776,33.7008,0.3233,0.2403,41.0708,1.6623,1183
Android,2,False,104857600,5629766,20210420,1355752,27195938,37163855,4808,561924638,2.1239,0.4442,62.0863,0.086,0.2045,64.9476,0.6919,1300
Android,3,False,104857600,12510856,15148556,398388,28057800,22669425,4981,568398710,0.6726,0.2025,35.1238,0.0224,0.1723,36.1949,0.2536,1414
Android,4,False,104857600,15547914,5079876,112984,20740774,18660027,5062,568398710,0.1775,0.0593,0.9028,0.0041,0.0212,1.1664,0.0677,1493
Android,5,False,104857600,16393676,895084,21212,17309972,17328685,5070,568398710,0.0303,0.0134,0.0928,0.0032,0.0068,0.1477,0.0124,1318
Android,6,False,104857600,16516438,85956,2128,16604522,17101871,5092,568398710,0.006,0.0024,0.0094,0.0012,0.0017,0.0228,0.0027,1324
Android,7,False,104857600,16526856,19972,544,16547372,17152665,5092,568398710,0.0035,0.001,0.0029,0.0011,0.0028,0.0134,0.0016,1474
Android,8,False,104857600,16529002,4548,144,16533694,17222979,5057,568398710,0.0041,0.0016,0.0014,0.001,0.0011,0.0114,0.0012,1321
Android,9,False,104857600,16529460,1492,64,16531016,17298677,5057,568398710,0.0026,0.0007,0.0012,0.0019,0.001,0.0095,0.0011,1318
Android,10,False,104857600,16529630,500,48,16530178,17375191,5060,568398710,0.0031,0.0019,0.0011,0.001,0.0018,0.0111,0.0013,1315
Android,11,False,104857600,16529728,196,28,16529952,17451977,5069,568398710,0.0035,0.0021,0.0011,0.0011,0.0013,0.0112,0.0016,1314
Android,12,False,104857600,16529818,84,4,16529906,17528859,5070,568398710,0.0024,0.0007,0.0011,0.0017,0.0024,0.0101,0.0013,1454
Android,13,True,,0,0,0,0,,,,,,,,,,,
BGL,0,False,104857600,165978,25445292,8237792,33849062,298983795,2970,823346502,15.1795,3.1714,43.3452,1.6334,0.2203,63.5565,4.6149,755
BGL,1,False,104857600,3780780,28866980,3622968,36270728,116634253,4146,641395782,6.8837,1.5401,73.2646,0.3028,0.3764,82.3714,1.7468,1060
BGL,2,False,104857600,8356590,28130644,1240696,37727930,42755783,4364,567819726,2.1948,0.5085,11.4151,0.0711,0.3146,14.5059,0.7117,1103
BGL,3,False,104857600,16919072,20230340,532700,37682112,30365185,4687,581585886,0.7827,0.2016,264.4762,0.0213,0.1834,265.6666,0.3284,1323
BGL,4,False,104857600,21441490,10364924,218340,32024754,27254035,4588,581585886,0.3732,0.0942,73.9205,0.0106,0.1,74.5004,0.1317,1263
BGL,5,False,104857600,23212252,2942524,62700,26217476,25193957,4623,581585886,0.0953,0.0334,0.9573,0.0057,0.0164,1.1094,0.0371,1204
BGL,6,False,104857600,23665614,889492,20368,24575474,24660279,4631,581585886,0.0296,0.0106,0.0885,0.0023,0.0059,0.1389,0.0119,1202
BGL,7,False,104857600,23787392,242692,5432,24035516,24525185,4758,581585886,0.01,0.0044,0.0211,0.0014,0.004,0.0424,0.0039,1200
BGL,8,False,104857600,23815890,45068,1028,23861986,24530179,4620,581585886,0.004,0.0017,0.0047,0.0011,0.0014,0.015,0.0017,1337
BGL,9,False,104857600,23820228,212,16,23820456,24588781,4612,581585886,0.003,0.0008,0.0027,0.0011,0.0011,0.0109,0.0013,1318
BGL,10,True,,0,0,0,0,,,,,,,,,,,
EDGAR,0,False,104857600,236786,26456036,6206248,32899070,287839011,3162,812163178,14.7455,3.2709,54.4875,0.7229,0.1658,73.3984,4.6934,812
EDGAR,1,False,104857600,3189932,27244124,6316312,36750368,120245821,4252,645063002,8.7516,1.3532,39.0607,0.6754,0.7403,50.5873,2.0902,1198
EDGAR,2,False,104857600,7253110,31870348,1349884,40473342,45878095,4911,571054530,2.4957,0.7608,13.69,0.0767,0.4259,17.4507,0.7665,1442
EDGAR,3,False,104857600,13728064,22123852,627640,36479556,29928825,5174,573642402,1.1415,0.2306,7.2394,0.0302,0.2027,8.8472,0.4357,1615
EDGAR,4,False,104857600,18902122,12191084,274172,31367378,26103859,5475,573642402,0.375,0.1411,3.0018,0.0089,0.1129,3.6409,0.1768,1645
EDGAR,5,False,104857600,21146724,3053292,72272,24272288,23372853,5424,573642402,0.0884,0.0265,0.5734,0.0044,0.0148,0.7092,0.0392,1578
EDGAR,6,False,104857600,21668358,601956,15648,22285962,22561623,5590,573642402,0.0228,0.0094,0.0636,0.0025,0.0038,0.1043,0.0111,1682
EDGAR,7,False,104857600,21761568,100540,2664,21864772,22436145,5563,573642402,0.0063,0.0028,0.0126,0.0012,0.0025,0.0277,0.0027,1649
EDGAR,8,False,104857600,21774858,34844,932,21810634,22486243,5710,573642402,0.0042,0.0012,0.0045,0.0011,0.0023,0.0147,0.0019,1603
EDGAR,9,False,104857600,21778972,8412,228,21787612,22552149,5645,573642402,0.0038,0.001,0.0023,0.0011,0.0012,0.0118,0.0012,1613
EDGAR,10,False,104857600,21779870,2612,84,21782566,22626495,5696,573642402,0.003,0.0008,0.0027,0.0011,0.0012,0.0111,0.0023,1752
EDGAR,11,False,104857600,21780136,740,44,21780920,22702657,5387,573642402,0.0025,0.0007,0.0011,0.0018,0.001,0.0093,0.002,1683
EDGAR,12,False,104857600,21780250,292,16,21780558,22779387,5375,573642402,0.0027,0.0018,0.0011,0.0011,0.0023,0.0113,0.0014,1655
EDGAR,13,False,104857600,21780340,116,24,21780480,22856245,5469,573642402,0.0033,0.0015,0.0011,0.0023,0.0011,0.0107,0.0011,1566
EDGAR,14,False,104857600,21780430,68,4,21780502,22933159,5369,573642402,0.0026,0.0007,0.0011,0.001,0.0014,0.0089,0.0011,1716
EDGAR,15,True,,0,0,0,0,,,,,,,,,,,
