dataset,level,text_size_mb,comp_speed_MBs,decomp_speed_MBs,peak_mem_comp_MB,peak_mem_decomp_MB,compressed_size_MB
Android,0,104.8576,1.77889368805708,21.1423501895314,788.07883,633.30775,24.652122
Android,1,104.8576,2.30558621629823,36.8529153340597,617.595086,273.40967,25.92066
Android,2,104.8576,1.50321407886965,52.6420001004066,561.924638,217.391598,27.195938
Android,3,104.8576,2.54657700256704,62.8793475653634,568.39871,202.897246,28.0578
Android,4,104.8576,16.8353991394259,67.1862625744858,568.39871,198.887926,20.740774
Android,5,104.8576,20.0965176227073,78.8165965123271,568.39871,197.55667,17.309972
Android,6,104.8576,20.5008211464769,79.0364061204492,568.39871,197.329934,16.604522
Android,7,104.8576,20.5385670074823,71.060992138791,568.39871,197.380806,16.547372
Android,8,104.8576,20.6885013021861,79.3054000907578,568.39871,197.451198,16.533694
Android,9,104.8576,20.6962597453864,79.4917746948677,568.39871,197.526974,16.531016
Android,10,104.8576,20.6774861469898,79.6608675833777,568.39871,197.603566,16.530178
Android,11,104.8576,20.6404472264871,79.7032532684707,568.39871,197.68043,16.529952
Android,12,104.8576,20.6408535265054,72.0522229093658,568.39871,197.75739,16.529906
BGL,0,104.8576,1.57617791406432,19.5269185645915,823.346502,703.533646,33.849062
BGL,1,104.8576,1.21198279190082,37.358415277184,641.395782,321.199314,36.270728
BGL,2,104.8576,5.55687099560676,57.7823331680168,567.819726,227.917886,37.72793
BGL,3,104.8576,0.387853536997473,63.4961850551048,581.585886,215.527366,37.682112
BGL,4,104.8576,1.32582780787069,75.1829067182907,581.585886,212.416294,32.024754
BGL,5,104.8576,18.292094061824,84.4876319394086,581.585886,210.356294,26.217476
BGL,6,104.8576,21.9831862303193,86.3807562402175,581.585886,209.822694,24.575474
BGL,7,104.8576,21.84351304058,87.0982639754132,581.585886,209.687678,24.035516
BGL,8,104.8576,22.6229989212514,78.3279300814223,581.585886,209.69275,23.861986
BGL,9,104.8576,22.6822124640377,79.4797240961116,581.585886,209.75143,23.820456
cere,0,461.286644,4.60189552107775,20.0656248885332,3270.391284,2415.8581,28.931986
cere,1,461.286644,7.98366605052372,26.6307179475337,2618.070468,1027.357524,34.5793
cere,2,461.286644,11.0427249245324,41.3628381843941,2417.981916,826.965924,27.844826
cere,3,461.286644,13.6450712741192,50.537561242824,2354.090924,762.976052,24.437136
cere,4,461.286644,15.4088368379737,51.9835743827265,2342.588972,743.050612,22.254178
cere,5,461.286644,16.9383307935505,54.8041634786741,2342.588972,737.189036,20.57256
cere,6,461.286644,17.6383383615333,55.1013717807826,2342.588972,735.6023,19.44625
cere,7,461.286644,17.9168276237085,54.5133650834919,2342.588972,735.172324,18.826244
cere,8,461.286644,17.8768328450294,54.7911443164271,2342.588972,735.097084,18.567778
cere,9,461.286644,17.9786979195086,55.0908426885778,2342.588972,735.122076,18.4648
cere,10,461.286644,17.9978479990324,54.1143136679845,2342.588972,735.18066,18.426794
cere,11,461.286644,17.9381477247097,53.9377755431351,2342.588972,735.251724,18.415168
cere,12,461.286644,17.9726037068351,55.0704540190776,2342.588972,735.32662,18.411114
cere,13,461.286644,18.004662066166,55.148143224341,2342.588972,735.4029,18.40956
cere,14,461.286644,18.0048728927678,54.8667416799486,2342.588972,735.479692,18.409166
cere,15,461.286644,17.9704332039955,54.5198080582444,2342.588972,735.556644,18.409108
coreutils,0,205.281778,3.83384651300038,19.49327958674,1505.655236,1165.509916,21.987242
coreutils,1,205.281778,7.25164626628939,32.3456673757189,1192.085628,507.527276,23.632896
coreutils,2,205.281778,11.4495143703324,52.873606696716,1087.615532,402.864076,18.242098
coreutils,3,205.281778,15.1629275246706,62.4678284949181,1055.3115,370.598436,15.13366
coreutils,4,205.281778,17.5549037515927,68.6515209684971,1052.666132,358.903596,13.061586
coreutils,5,205.281778,18.8259366115809,70.874802513465,1052.666132,355.478316,11.982568
coreutils,6,205.281778,19.3126402242836,65.5412592190543,1052.666132,354.528204,11.517062
coreutils,7,205.281778,19.261358266793,69.1440526794436,1052.666132,354.365236,11.382504
coreutils,8,205.281778,19.4187827419523,72.1552822495606,1052.666132,354.378668,11.337966
coreutils,9,205.281778,19.4819946853943,71.791906693712,1052.666132,354.437676,11.321584
coreutils,10,205.281778,19.4559598525272,71.7417271265814,1052.666132,354.508604,11.314338
coreutils,11,205.281778,19.5051335455366,71.7592819939176,1052.666132,354.583876,11.311584
coreutils,12,205.281778,19.4530099405839,71.5466952460616,1052.666132,354.660196,11.310154
coreutils,13,205.281778,19.3044675989054,68.704366946685,1052.666132,354.736924,11.309632
dblp.xml,0,296.135874,0.315916445155452,20.0263654622548,2166.374376,1674.44114,121.212482
dblp.xml,1,296.135874,1.87386377312859,31.0933184237881,1748.0994,791.672334,155.410396
dblp.xml,2,296.135874,1.91947027482499,40.9797235137828,1665.833456,654.631364,146.070242
