dataset,level,text_size_mb,comp_speed_MBs,decomp_speed_MBs,peak_mem_comp_MB,peak_mem_decomp_MB,compressed_size_MB
Android,12,104.8576,20.6408535265054,72.0522229093658,568.39871,197.75739,16.529906
BGL,9,104.8576,22.6822124640377,79.4797240961116,581.585886,209.75143,23.820456
cere,15,461.286644,17.9704332039955,54.5198080582444,2342.588972,735.556644,18.409108
coreutils,13,205.281778,19.3044675989054,68.704366946685,1052.666132,354.736924,11.309632
dblp.xml,15,296.135874,16.2835487347549,53.1347449446468,1665.833456,606.16114,85.922996
dblp.xml.00001.1,15,104.8576,22.4399931518576,94.7137566615482,526.642182,162.599306,0.425792
dblp.xml.00001.2,14,104.8576,22.1274584282941,110.843128964059,526.640014,162.530122,0.425322
dblp.xml.0001.1,14,104.8576,22.5258002148228,87.8572266443234,527.15478,162.996236,0.828742
dblp.xml.0001.2,14,104.8576,22.1676884698321,108.089475311824,527.167092,163.095444,0.832766
dblp.xml.100MB,14,104.8576,16.78876667147,57.8652392252083,596.78197,213.768682,32.350406
dblp.xml.200MB,14,209.7152,16.5299282730354,53.5506868903529,1187.514634,431.379798,62.425246
dblp.xml.50MB,13,52.4288,17.0035674904326,56.1276094636549,300.869592,108.636012,16.779656
dna,15,403.927746,11.8163154584468,36.2101411910247,2510.713478,831.203114,200.597496
dna.001.1,14,104.8576,19.7390158503068,70.369505402322,532.036816,157.229324,3.861902
dna.100MB,14,104.8576,14.3422467207397,45.5962082010697,679.847384,214.220652,52.97449
dna.200MB,15,209.7152,14.0032317944472,41.0514035156403,1325.84776,425.565136,104.329696
dna.50MB,14,52.4288,15.4552368599475,52.3345977240966,347.204158,108.340246,26.687422
EDGAR,13,104.8576,19.1356461120134,66.9118754387084,573.642402,209.943106,21.78048
einstein.de,14,92.758441,21.2675549696205,77.8044296259017,465.999179,142.528427,0.271158
einstein.en,15,467.626544,20.2702493324548,91.893284074831,2341.159926,734.358802,0.916744
english.001.2,14,104.8576,17.7394011165623,68.3066901179076,532.956936,180.03872,4.583466
english.100MB,15,104.8576,12.3121433435878,33.3803202495782,655.492348,239.8681,52.599472
english.1024MB,0,1073.741824,0.923973881221533,17.6758972839409,8070.26963,6485.694086,739.844818
english.200MB,15,209.7152,12.0966740883449,32.8028530313458,1303.720916,474.989556,103.175524
english.50MB,14,52.4288,13.1456510292606,35.0858595998126,325.325906,116.650974,24.236758
Escherichia_Coli,14,112.689515,15.6711280924502,44.0365435717077,607.253007,185.794399,16.354658
fib41,0,267.914296,2.26110910809533,20.8818625097428,2158.340766,1905.364494,0.00065
HDFS_1,6,104.8576,20.7130214917826,77.5459251590001,576.818708,193.67536,21.92107
Horspool,15,571.83968,35.9410251092046,205.092776701815,2862.61604,696.537896,0.65226
influenza,14,154.808555,21.9027383984154,81.7751597908193,790.360625,235.056877,7.817938
kernel,15,257.961616,18.7915946822073,67.5469012830584,1306.38386,434.285888,6.176484
NQueens,14,302.590158,40.9514356475842,213.69361440678,1515.315512,363.623796,0.363786
para,15,429.265758,17.1510095650576,50.2870983915748,2194.209694,681.994518,22.22132
pitches,13,55.832855,11.6221596586178,31.9904056609179,397.127371,170.281195,43.618016
pitches.50MB,13,52.4288,11.728250900387,31.9629336097055,375.918282,161.665606,41.877728
proteins,16,1184.051855,7.79874747984369,22.1777826372799,7602.083769,3006.966761,655.562222
proteins.001.1,14,104.8576,18.1348644955985,59.2081309994354,532.783514,187.162978,4.521798
proteins.100MB,14,104.8576,6.37343107042784,20.3614897665929,773.147122,304.868194,84.838354
proteins.200MB,15,209.7152,5.6984109731974,23.0565212133206,1476.081298,575.513238,150.179272
proteins.50MB,14,52.4288,9.37283014820244,25.9112385094396,397.120728,155.756168,43.861542
Quicksort,14,381.494534,38.0004914734242,195.038105316973,1910.079224,466.556232,0.531898
rs.13,0,216.747218,8.2744684230016,21.2179004042955,1746.152696,1541.49206,0.00089
sources,14,210.866607,12.0729073462307,39.7831497622821,1278.334393,481.779637,98.377638
sources.001.2,13,104.8576,19.4696325454444,68.5299000065355,532.821184,177.96172,4.406772
sources.100MB,14,104.8576,13.4491444988841,41.5261177775138,645.084066,239.047246,50.618242
sources.200MB,14,209.7152,13.0750843241289,42.6571201920143,1271.542786,479.203234,97.875766
sources.50MB,13,52.4288,13.644095143913,42.5489368608992,327.989872,119.726412,25.698312
statistics.pdf,8,0.169155,6.65964566929134,24.5152173913043,3.003381,1.79313,0.268546
Thunderbird,6,104.8576,24.0130075342936,96.3410510841602,565.17531,187.738578,16.178162
tm29,0,268.435456,4.57659249156068,22.9754062104146,2058.101204,1700.194948,0.000978
Windows,11,104.8576,24.9988318035523,134.899781294224,528.318086,165.005778,1.459556
world_leaders,11,46.968181,27.3850976619439,109.380952491849,238.948643,64.534151,1.630724
