dataset,level,text_size_mb,comp_speed_MBs,decomp_speed_MBs,peak_mem_comp_MB,peak_mem_decomp_MB,compressed_size_MB
Android,0,104.85759999999999,4.319340617749872,32.565847501633606,813.754896,633.30775,13.121702
BGL,0,104.85759999999999,4.958283689072086,26.98731675177071,908.042064,703.533646,18.659794
EDGAR,0,104.85759999999999,4.49847639903952,28.504098611324427,885.2728,681.583722,19.015378
Escherichia_Coli,14,113.246208,15.823159201960712,45.27926667922134,607.253007,185.794399,16.354562
HDFS_1,0,104.85759999999999,4.352026849540646,24.016125940277128,771.419796,599.595776,17.224714
Horspool,14,572.5224959999999,34.52609391705487,203.88505821624497,2862.61604,696.46096,0.652182
NQueens,13,303.038464,40.67106305764626,199.4814561746156,1515.315512,363.546844,0.363668
Quicksort,13,381.68166399999996,38.02374840119741,184.55997907220427,1910.079224,466.479288,0.53178
Thunderbird,0,104.85759999999999,5.146697488004671,34.0889134373406,800.470032,630.18009,12.161554
Windows,1,104.85759999999999,12.154374521640927,61.959650262090705,609.177334,247.46969,1.458688
cere,14,461.37343999999996,18.025284045447272,54.587015516785044,2342.588972,735.479692,18.409014
coreutils,13,205.520896,19.401607271530597,69.08100546171839,1052.666132,354.736924,11.309496
dblp.xml.00001.1,14,104.85759999999999,22.73429149385015,97.62704794783917,526.642182,162.52233,0.425686
dblp.xml.00001.2,13,104.85759999999999,22.26124291741476,98.91022696294506,526.640014,162.453186,0.425212
dblp.xml.0001.1,14,104.85759999999999,22.60198176021865,95.75485611330124,527.15478,162.996236,0.828622
dblp.xml.0001.2,14,104.85759999999999,22.19533997261397,107.98239453299583,527.167092,163.095444,0.832702
dblp.xml.100MB,0,104.85759999999999,4.0728571031830265,21.56324564915677,764.143202,587.858938,25.648826
dblp.xml.200MB,0,209.71519999999998,1.7634805478354332,29.76918276811473,1532.53849,1182.77123,47.18877
dblp.xml.50MB,0,50.331648,3.842260705151224,21.82136203675563,401.644976,295.070324,13.914342
dblp.xml,0,294.649856,3.7814100835683693,24.87665983082343,2166.374376,1674.44114,63.492886
dna.001.1,13,104.85759999999999,18.296594480185796,79.73598162821469,532.036816,157.152372,3.861804
dna.100MB,13,99.61471999999999,13.549402581405458,43.122191357182956,679.847384,214.143716,52.974412
dna.200MB,0,200.27801599999998,4.324887338678355,36.48632814883975,1517.05948,1146.995936,105.275706
dna.50MB,13,49.99610368,14.82946086556224,49.93937255278005,347.204158,108.26327,26.687324
dna,0,384.827392,3.600685930499694,27.706414982459016,2918.80999,2202.724474,191.991214
einstein.de.txt,13,93.323264,21.486673870083848,82.7968823610304,465.999179,0.009144,0.271076
einstein.en.txt,15,467.664896,20.351843775232282,89.19681857965958,2341.159926,0.009144,0.916624
english.001.2,14,104.85759999999999,17.631064474239746,68.17159924116238,532.956936,180.03872,4.583358
english.100MB,14,99.61471999999999,11.765821983433902,30.916469587779243,655.492348,239.791124,52.599374
english.200MB,0,200.00014336,2.7257728928267615,15.993478452721634,1744.7278,1266.87214,108.330298
english.50MB,13,49.99610368,12.578832321664802,36.97649493197643,325.325906,116.574014,24.23666
fib41,0,268.435456,15.96000774350542,31.85707887335778,2457.360008,1905.364494,0.000502
influenza,14,155.189248,21.992204980417505,82.01429219193098,790.360625,235.056877,7.81783
kernel,14,258.998272,19.160459413178536,69.1017333711839,1306.38386,434.20892,6.176374
para,14,429.91616,17.192910036790803,50.170239815001416,2194.209694,681.917582,22.221206
pitches.50MB,12,52.428799999999995,11.636696807059682,33.28510490793534,375.918282,161.588654,41.877634
pitches,12,55.832854999999995,11.344057860473391,30.34125509533666,397.127371,170.204243,43.617922
proteins.001.1,13,104.85759999999999,20.462886312658046,64.84499551652699,532.783514,187.08601,4.521668
proteins.100MB,13,99.9999668224,8.814878569930043,23.136925486211084,773.147122,304.791258,84.838276
proteins.200MB,0,200.00014336,1.3773772204243215,14.327876113821427,2253.587376,1315.377854,183.283858
proteins.50MB,13,49.99610368,8.470329626541169,23.52657071156012,397.120728,155.6792,43.861452
proteins,0,1129.199999909888,1.6463142307811627,12.995806353990481,11712.20496,7336.990425,737.090398
rs.13,0,217.055232,12.568773041109408,28.45353141040775,1988.221384,1541.49206,0.000742
sources.001.2,13,104.85759999999999,18.977751579057102,76.30585624101732,532.821184,177.96172,4.4067
sources.100MB,13,99.9999668224,12.875886433922924,40.07632411112687,645.084066,238.970286,50.618124
sources.200MB,0,200.00014336,2.8070251502817034,20.166972669334893,1607.411072,1185.78793,96.314982
sources.50MB,12,49.99610368,13.052286228660458,40.15573904767259,327.989872,119.649484,25.698242
sources,0,201.10000521215997,2.74832631185169,22.179567050909547,1615.385256,1192.314349,96.791698
statistics.pdf,8,0.169155,8.743667941693374,27.91797326291467,3.003381,1.79313,0.268426
tm29,0,268.435456,16.935679982153008,27.448289049159996,2148.771904,1700.194948,0.00079
world_leaders,11,47.185919999999996,29.247948468580372,150.7253265358926,238.948643,64.534151,1.630596
